comment_id,Commentaire,star,date,client,reponse,source,company,ville,maj,date_commande,ecart,clean_comment,qualité produit,service livraison,service client
2,"Vente Lacoste Honteuse , article erroné , article manquant , pas de bon de livraison , retard et service client désastreux.Après deux appels désastreux , je tenais à avertir les plus courageux qui oseront commander et contacter ce service client . Showroom fait dans le pire du pire . Attentions aux oreilles , votre interlocuteur vous parle dans environnement très bruyant de type chantier , coup de marteaux et jet de matériaux à proximité du micro . Vous demandez de faire cesser la nuisance , on vous répond que non car ils vous entendent très bien . Erreur sur votre commande , l ’ interlocuteur ne vous crois pas , il faut envoyer les captures d ’ écran de sa commande pour les convaincre qu ’ ils font bien n ’ importe quoi.La commande arrive en plusieurs fois pour une même vente , retard , article manquant et pas de bon livraison pour comprendre quoi que ce soit , on ne sait rien et il est impossible d ’ obtenir le suivi de livraison et les détails pour les articles manquants.Un article annulé par Showroom car n ’ était plus en stock mais toujours proposé à la vente . ( Commande n°230077467 et Commande n•230077467 ) Ca fait beaucoup d ’ un coup , c ’ est inadmissible.Fuyez !",1,2021-06-19 00:00:00+00:00,Vanessa L,,TrustPilot,ShowRoom,,,,,"vente lacoste honteuse , article erroné , article manquant , pas de bon de livraison , retard et service client désastreux.après deux appels désastreux , je tenais à avertir les plus courageux qui oseront commander et contacter ce service client . showroom fait dans le pire du pire . attentions aux oreilles , votre interlocuteur vous parle dans environnement très bruyant de type chantier , coup de marteaux et jet de matériaux à proximité du micro . vous demandez de faire cesser la nuisance , on vous répond que non car ils vous entendent très bien . erreur sur votre commande , l ’ interlocuteur ne vous crois pas , il faut envoyer les captures d ’ écran de sa commande pour les convaincre qu ’ ils font bien n ’ importe quoi.la commande arrive en plusieurs fois pour une même vente , retard , article manquant et pas de bon livraison pour comprendre quoi que ce soit , on ne sait rien et il est impossible d ’ obtenir le suivi de livraison et les détails pour les articles manquants.un article annulé par showroom car n ’ était plus en stock mais toujours proposé à la vente . ( commande n°230077467 et commande n•230077467 ) ca fait beaucoup d ’ un coup , c ’ est inadmissible.fuyez !",1,0,0
6,Annulation de commande après 2 mois d ’ attente dans un geste et sans explication . Retard de livraison et report à 3 reprise pour se résultat incompréhensible et inadmissible je recommande pas le site mieux vaut aller sur vente privée au mon d on attend mais on a sa commande,1,2021-06-18 00:00:00+00:00,aurore regnier,"Bonjour Aurore , Je suis sincèrement désolé d'apprendre l'annulation de votre commande.Je vous présente mes excuses pour ce désagrément . Après vérification , je constate que votre demande a été prise en charge et traitée par nos services en date du 19/06/21.Toute fois , je vous informe avoir remonté cette anomalie auprès de nos services afin d ' y remédier prochainement.Si besoin , je reste à votre disposition pour toute autre demande.Ayoub",TrustPilot,ShowRoom,,,,,annulation de commande après 2 mois d ’ attente dans un geste et sans explication . retard de livraison et report à 3 reprise pour se résultat incompréhensible et inadmissible je recommande pas le site mieux vaut aller sur vente privée au mon d on attend mais on a sa commande,0,0,1
8,"Extrêmement deçu pour mes achats lors la vente Dolores Promesas , J'ai reçu des vetements sales et déja utilisées !",1,2021-06-18 00:00:00+00:00,Ayna,,TrustPilot,ShowRoom,,,,,"extrêmement deçu pour mes achats lors la vente dolores promesas , j'ai reçu des vetements sales et déja utilisées !",1,0,0
9,S'il y'avait une option : ne pas mettre d'étoile ( une étoile c'est trop ! ) je serais contente . J'ai passé une commande mi-avril et là nous sommes en mi-juin je ne l'ai toujours pas reçu ! Et quand je leur faire part de ça il ne me réponde pas ! J'ai commandé des articles de jennyfer via leur site . C'est marqué colis expédié via mondial relay mais depuis plus rien même pas un numéro de suivi !,1,2021-06-18 00:00:00+00:00,linda Ng,,TrustPilot,ShowRoom,,,,,s'il y'avait une option : ne pas mettre d'étoile ( une étoile c'est trop ! ) je serais contente . j'ai passé une commande mi-avril et là nous sommes en mi-juin je ne l'ai toujours pas reçu ! et quand je leur faire part de ça il ne me réponde pas ! j'ai commandé des articles de jennyfer via leur site . c'est marqué colis expédié via mondial relay mais depuis plus rien même pas un numéro de suivi !,1,0,0
10,"ARNAQUE J ’ ai acheté une combinaison blanche à 33€ au lieu de soit disant 100€ , que j ’ ai reçu + d ’ un mois après , avec des traces noires sur le bas de la combi et surtout elle était SUPER TRANSPARENTE ! Bref impossible à mettre même avec des sous vêtements couleur chair ! Grosse arnaque c ’ est inadmissible je vais la renvoyer avec 6,50€ De frais à mes charges ! En espérant être remboursée ! Je ne vous conseille pas du tout Showroom privé",1,2021-06-18 00:00:00+00:00,Sarah,,TrustPilot,ShowRoom,,,,,"arnaque j ’ ai acheté une combinaison blanche à 33€ au lieu de soit disant 100€ , que j ’ ai reçu + d ’ un mois après , avec des traces noires sur le bas de la combi et surtout elle était super transparente ! bref impossible à mettre même avec des sous vêtements couleur chair ! grosse arnaque c ’ est inadmissible je vais la renvoyer avec 6,50€ de frais à mes charges ! en espérant être remboursée ! je ne vous conseille pas du tout showroom privé",1,0,0
13,"2 robes achetées sur showroom privées , une pour ma fille , une pour moi . Ma fille me dit qu'il y a un trou , donc je regarde du coup les deux robes : toutes les deux défectueuses ( trou au niveau de la couture de l'une , et une maille sortie dans l'autre ) . Je retourne donc le colis en prenant la peine de mettre des post it là où les robes sont abimées . Je renvoie le colis avec le retour gratuit . Plusieurs jours après , je reçois un mail de showroom me disant que mon remboursement a été effectué . SAUF QUE , ils m'ont enlevé 6.50€ de frais de retour ! ! ! ! ! Inadmissible , ce n'est pas a moi de payer pour leurs robes défectueuses . Et impossible de faire une réclamation sur le service client , depuis 24H , un message d'erreur m'empêche de la faire . Mais comme par hasard , quand je valide ma réclamation , ça ne marche pas ! Je ne lâche rien , je veux être remboursée et j'ai pris des photos .",1,2021-06-18 00:00:00+00:00,lavigne,,TrustPilot,ShowRoom,,,,,"2 robes achetées sur showroom privées , une pour ma fille , une pour moi . ma fille me dit qu'il y a un trou , donc je regarde du coup les deux robes : toutes les deux défectueuses ( trou au niveau de la couture de l'une , et une maille sortie dans l'autre ) . je retourne donc le colis en prenant la peine de mettre des post it là où les robes sont abimées . je renvoie le colis avec le retour gratuit . plusieurs jours après , je reçois un mail de showroom me disant que mon remboursement a été effectué . sauf que , ils m'ont enlevé 6.50€ de frais de retour ! ! ! ! ! inadmissible , ce n'est pas a moi de payer pour leurs robes défectueuses . et impossible de faire une réclamation sur le service client , depuis 24h , un message d'erreur m'empêche de la faire . mais comme par hasard , quand je valide ma réclamation , ça ne marche pas ! je ne lâche rien , je veux être remboursée et j'ai pris des photos .",1,1,0
14,"Ce sont des voleurs . Showroomprivé vend des Ipad reconditionnés en mauvais état . Ils rejettent la faute sur leurs fournisseurs mais vous laisse vous démerder avec eux . Soit disant ils doivent appeler mais j'attends toujours depuis janvier . Sara du service client ne comprends pas mon explication . Pour tout renseignement voici mon numéro 06 27 27 23 84 . Avec VEEPEE , il n ' y a pas de problèmes , ils sont sérieux .",1,2021-06-18 00:00:00+00:00,Laurent,,TrustPilot,ShowRoom,,,,,"ce sont des voleurs . showroomprivé vend des ipad reconditionnés en mauvais état . ils rejettent la faute sur leurs fournisseurs mais vous laisse vous démerder avec eux . soit disant ils doivent appeler mais j'attends toujours depuis janvier . sara du service client ne comprends pas mon explication . pour tout renseignement voici mon numéro 06 27 27 23 84 . avec veepee , il n ' y a pas de problèmes , ils sont sérieux .",1,0,1
15,Une bande d ’ incapable qui ne savent pas expédier des colis et quand vous avez le malheur de leur demander de vous le faire parvenir c ’ est pas possible on vous rembourse . Tout ça sans excuses ni geste commercial . La satisfaction client chez eux c ’ est pas une priorité .,1,2021-06-17 00:00:00+00:00,Marine V * * * * * * * *,,TrustPilot,ShowRoom,,,,,une bande d ’ incapable qui ne savent pas expédier des colis et quand vous avez le malheur de leur demander de vous le faire parvenir c ’ est pas possible on vous rembourse . tout ça sans excuses ni geste commercial . la satisfaction client chez eux c ’ est pas une priorité .,0,0,1
16,"Achete une pergola sur shorom vendu par SOURCIDYS A TOURS paye 37 € de frais de livraison .Il y avait 3 colis j en ai reçu 2 , il me manque le 3 ème qui contient les pieds .. Depuis le 10 juin pas de nouvelles , la société ne répond pas ... ni a moi ni a shorom .Du coup impossible de la monter paye 299 euros pour rien ..... site à banir.Shorom a de suite pris la réclamation en compte mais rien bouge .",2,2021-06-17 00:00:00+00:00,Sandrine Hanquiez,,TrustPilot,ShowRoom,,,,,"achete une pergola sur shorom vendu par sourcidys a tours paye 37 € de frais de livraison .il y avait 3 colis j en ai reçu 2 , il me manque le 3 ème qui contient les pieds .. depuis le 10 juin pas de nouvelles , la société ne répond pas ... ni a moi ni a shorom .du coup impossible de la monter paye 299 euros pour rien ..... site à banir.shorom a de suite pris la réclamation en compte mais rien bouge .",1,0,0
20,"Ne répondent pas aux mails de réclamation malgré relance.Suite au message sur Truspilot me laissent un message , toujours sur Truspilot , m'indiquant qu'ils vont me contacter ... j'attends encore ... j'ai à nouveau relancé par mail et par téléphone et je suis supposée avoir reçu un mail le 15 juin dernier . Rien dans ma boîte de réception , rien en spam ... bonnes gens , fuyez !",1,2021-06-19 00:00:00+00:00,GC,"Bonjour , Je suis sincèrement désolé d'apprendre que vous n'ayez toujours pas eu de réponses suite aux mails adressés à nos services.Je vous présente mes excuses pour ce délai d'attente.Soucieux de vous apporter satisfaction , je vous informe un email vous a été adressé aujourd'hui en privé afin de me communiquer les références de votre commande.Dans l'attente de votre retour , je reste à votre disposition pour toute autre demande.Ayoub",TrustPilot,ShowRoom,,,,,"ne répondent pas aux mails de réclamation malgré relance.suite au message sur truspilot me laissent un message , toujours sur truspilot , m'indiquant qu'ils vont me contacter ... j'attends encore ... j'ai à nouveau relancé par mail et par téléphone et je suis supposée avoir reçu un mail le 15 juin dernier . rien dans ma boîte de réception , rien en spam ... bonnes gens , fuyez !",1,0,1
22,"showroom s'est trompé dans l'envoi de ma commande pour une montre.Je n'ai pas reçu l'article commandé.Mais pour le retour , je dois payer l'affranchissement L'erreur est de leur côté . Le retour devrait être gratuitEncore un plan malhonnête.Cette enseigne vend de vraies marques ( le nettoyeur vapeur Polti que j'ai vu dans le commerce , et sur le site Polti ) . Mais l'emballage laissait à désirer . Colissimo a tout renforcé , avec l'adhésif a leur nom.EtElle vend des articles avec des marques qui ont existées autrefois , mais qui ont arrêté leurs commerces . Les chinois rachètent ces marques . Et les chinois créent également des marques avec des noms européens pour que cela sonne bien.Les montres ne correspondent pas aux prix d'origine soi-disant affichés . De ce fait les soldes semblent tres intéressantes . Une montre a 1000 euros , soldées 100 e , cela vous semble-t-il possible ? Ce n'est pas ce type de montres que j'ai acheté . Il y a également des articles qui ne correspondent pas exactement aux photos , comme des bagues , ou sacs avec des marques et des soldes qui semblent douteuses . C'est de la camelote de mauvaise qualité . Donc , Ayoub , c'est inutile de faire une réponse de la part de showroom sur le site de trust pilote . Je suis directement en contact avec euxMais au vu de vos réponses , toujours les mêmes je me demande si vous existez vraiment ou si vous êtes un robot .",1,2021-06-16 00:00:00+00:00,f Dupouy,"Bonjour , Je fais suite à votre message au sujet des articles reçus non conformes dans vos commande.Je vous présente de nouveau mes excuses pour cette situation.En effet , j'ai tenté de vous joindre en privé en date du 29/04/21 et 02/06/21 afin de m'entretenir avec vous sur ce sujet , sans succès.N'ayant pas accès à votre numéro de commande , je vous informe qu'un nouveau mail vient de vous être adressé afin de faire suite à votre réclamation.Au moindre retour de votre part , je m'engage à vous recontacter afin d'échanger de vive voix sur ce sujet.Dans l'attente de votre retour , je reste à votre disposition pour toute autre demande.Bien à vous , Ayoub",TrustPilot,ShowRoom,,,,,"showroom s'est trompé dans l'envoi de ma commande pour une montre.je n'ai pas reçu l'article commandé.mais pour le retour , je dois payer l'affranchissement l'erreur est de leur côté . le retour devrait être gratuitencore un plan malhonnête.cette enseigne vend de vraies marques ( le nettoyeur vapeur polti que j'ai vu dans le commerce , et sur le site polti ) . mais l'emballage laissait à désirer . colissimo a tout renforcé , avec l'adhésif a leur nom.etelle vend des articles avec des marques qui ont existées autrefois , mais qui ont arrêté leurs commerces . les chinois rachètent ces marques . et les chinois créent également des marques avec des noms européens pour que cela sonne bien.les montres ne correspondent pas aux prix d'origine soi-disant affichés . de ce fait les soldes semblent tres intéressantes . une montre a 1000 euros , soldées 100 e , cela vous semble-t-il possible ? ce n'est pas ce type de montres que j'ai acheté . il y a également des articles qui ne correspondent pas exactement aux photos , comme des bagues , ou sacs avec des marques et des soldes qui semblent douteuses . c'est de la camelote de mauvaise qualité . donc , ayoub , c'est inutile de faire une réponse de la part de showroom sur le site de trust pilote . je suis directement en contact avec euxmais au vu de vos réponses , toujours les mêmes je me demande si vous existez vraiment ou si vous êtes un robot .",1,0,0
